,ll,acc,number_of_nodes,discretizing,sample_size,used_disc
394,-48644.60952088112,-1.0,10,latin_cube_u,10000,2
395,-1943742.3617750339,-1.0,50,latin_cube_u,10000,2
396,-44075.65013775239,-1.0,5,latin_cube_q,10000,2
397,-71026.5669004663,-1.0,10,latin_cube_q,10000,2
398,-1808304.2635418973,-1.0,50,latin_cube_q,10000,2
399,-44685.160819309094,-1.0,5,uniform,10000,2
400,-79274.01656209084,-1.0,10,uniform,10000,2
401,-2293488.753679887,-1.0,50,uniform,10000,2
402,-35934.994815665596,0.0104,5,,10000,2
403,-35934.99417432793,0.9771,10,,10000,2
404,-35934.99450655509,0.0105,50,,10000,2
405,-41634.10277279217,-1.0,5,random,10000,2
406,-80358.93640324964,-1.0,10,random,10000,2
407,-1638470.8298676733,-1.0,50,random,10000,2
408,-37865.470370637304,-1.0,5,latin_cube_u,10000,2
409,-85177.96439249674,-1.0,10,latin_cube_u,10000,2
410,-2106236.2292976007,-1.0,50,latin_cube_u,10000,2
411,-46967.59834472665,-1.0,5,latin_cube_q,10000,2
412,-59838.70115375225,-1.0,10,latin_cube_q,10000,2
413,-2212018.018033061,-1.0,50,latin_cube_q,10000,2
414,-55515.836608980564,-1.0,5,uniform,10000,2
415,-105397.95682523331,-1.0,10,uniform,10000,2
416,-2253684.099392206,-1.0,50,uniform,10000,2
417,-35801.96945575348,0.9798,5,,10000,2
418,-35801.968959526625,0.9798,10,,10000,2
419,-35801.968810442086,0.9798,50,,10000,2
420,-38731.79680054899,-1.0,5,random,10000,2
421,-85467.15356448028,-1.0,10,random,10000,2
422,-1991389.019672,-1.0,50,random,10000,2
423,-45896.90261346894,-1.0,5,latin_cube_u,10000,2
424,-117646.4876696323,-1.0,10,latin_cube_u,10000,2
425,-1639534.6828069019,-1.0,50,latin_cube_u,10000,2
426,-46472.48720189845,-1.0,5,latin_cube_q,10000,2
427,-80342.04404547291,-1.0,10,latin_cube_q,10000,2
428,-1821254.3003570088,-1.0,50,latin_cube_q,10000,2
429,-49481.99802539392,-1.0,5,uniform,10000,2
430,-56742.392942660845,-1.0,10,uniform,10000,2
431,-1885110.924865942,-1.0,50,uniform,10000,2
432,-35906.4369001756,0.013,5,,10000,2
433,-35906.436152026086,0.9785,10,,10000,2
434,-35906.43653459957,0.9785,50,,10000,2
435,-42068.861222473875,-1.0,5,random,10000,2
436,-83041.92715464756,-1.0,10,random,10000,2
437,-2089199.8687239517,-1.0,50,random,10000,2
438,-50158.645054742636,-1.0,5,latin_cube_u,10000,2
439,-78331.0001680226,-1.0,10,latin_cube_u,10000,2
440,-2413755.858333764,-1.0,50,latin_cube_u,10000,2
441,-48247.30718747311,-1.0,5,latin_cube_q,10000,2
442,-92371.55040414074,-1.0,10,latin_cube_q,10000,2
443,-2246709.8734538713,-1.0,50,latin_cube_q,10000,2
444,-51316.513072302325,-1.0,5,uniform,10000,2
445,-90932.84014018864,-1.0,10,uniform,10000,2
446,-1801171.6544518685,-1.0,50,uniform,10000,2
447,-35907.35806789529,0.979,5,,10000,2
448,-35907.35804592131,0.979,10,,10000,2
449,-35907.35789763694,0.979,50,,10000,2
450,-42021.498897606434,-1.0,5,random,10000,2
